No.,Reference,Study ID,Date,Year,Mean - Experiment,Mean - Control,SE - Experiment,SE - Control,Log RR Effect Size,SE Log RR Effect Size,Location,Years,Replication,Type of Response,Experiment Type,Natural,Type of Treatment,Treat Score,Exclosure?,E ,% Change in #,Prey origin,Prey type(s),Pred. origin,Predator type,Prey Gen Time,Pred Max Range,Mult Pred,Predator Diversity,Prey Diversity,Harvested?,Near K?,Prey Mass,Pred Mass,Predator-prey Ratio,Spatial Scale (km2),Temporal Scale (months),Sample Size - Experiment Plots,Sample Size - Control Plots,Sample Size - experimental years,Sample size - control years,K,Other Notes
1,Hurley et al. 2011. Wildl. Monogr.,1,1997,1,0.756539903,0.871970226,NA,NA,-0.142,NA,"Southeastern Idaho, USA",1997-2003,r,growth rate,SEC,No,"aerial shooting, trapping, ground shooting, pup removal",3,Open,High,49.5,native,mule deer,native,coyote,90,100,0,4,3,Yes,No,96.4,13.8,0.143153527,1789,72,2,2,6,6,4819,
1,Hurley et al. 2011. Wildl. Monogr.,1,1997,2,0.956953957,1.242344102,NA,NA,-0.261,NA,"Southeastern Idaho, USA",1997-2003,r,growth rate,SEC,No,"aerial shooting, trapping, ground shooting, pup removal",3,Open,High,49.5,native,mule deer,native,coyote,90,100,0,4,3,Yes,No,96.4,13.8,0.143153527,1789,72,2,2,6,6,4819,
1,Hurley et al. 2011. Wildl. Monogr.,1,1997,3,1.128060741,0.936599047,NA,NA,0.186,NA,"Southeastern Idaho, USA",1997-2003,r,growth rate,SEC,No,"aerial shooting, trapping, ground shooting, pup removal",3,Open,High,49.5,native,mule deer,native,coyote,90,100,0,4,3,Yes,No,96.4,13.8,0.143153527,1789,72,2,2,6,6,4819,
1,Hurley et al. 2011. Wildl. Monogr.,1,1997,4,0.975309912,1.008032086,NA,NA,-0.033,NA,"Southeastern Idaho, USA",1997-2003,r,growth rate,SEC,No,"aerial shooting, trapping, ground shooting, pup removal",3,Open,High,49.5,native,mule deer,native,coyote,90,100,0,4,3,Yes,No,96.4,13.8,0.143153527,1789,72,2,2,6,6,4819,
1,Hurley et al. 2011. Wildl. Monogr.,1,1997,5,1.09089668,0.688320986,NA,NA,0.4605,NA,"Southeastern Idaho, USA",1997-2003,r,growth rate,SEC,No,"aerial shooting, trapping, ground shooting, pup removal",3,Open,High,49.5,native,mule deer,native,coyote,90,100,0,4,3,Yes,No,96.4,13.8,0.143153527,1789,72,2,2,6,6,4819,
1,Hurley et al. 2011. Wildl. Monogr.,1,1997,6,0.711770323,0.800114849,NA,NA,-0.117,NA,"Southeastern Idaho, USA",1997-2003,r,growth rate,SEC,No,"aerial shooting, trapping, ground shooting, pup removal",3,Open,High,49.5,native,mule deer,native,coyote,90,100,0,4,3,Yes,No,96.4,13.8,0.143153527,1789,72,2,2,6,6,4819,
1,Hurley et al. 2011. Wildl. Monogr.,1,1997,1,0.55,0.64,0.059,0.039,-0.151549898,0.168210227,"Southeastern Idaho, USA",1997-2004,r,calf-cow ratios,SEC,No,"aerial shooting, trapping, ground shooting, pup removal",3,Open,High,49.5,native,mule deer,native,coyote,90,100,0,4,3,Yes,No,96.4,13.8,0.143153527,1789,72,2,2,6,6,4819,
1,Hurley et al. 2011. Wildl. Monogr.,1,1997,2,0.545,0.625,0.052,0.044,-0.136965855,0.165812844,"Southeastern Idaho, USA",1997-2005,r,calf-cow ratios,SEC,No,"aerial shooting, trapping, ground shooting, pup removal",3,Open,High,49.5,native,mule deer,native,coyote,90,100,0,4,3,Yes,No,96.4,13.8,0.143153527,1789,72,2,2,6,6,4819,
1,Hurley et al. 2011. Wildl. Monogr.,1,1997,3,0.51,0.535,0.043,0.0335,-0.047856021,0.146930548,"Southeastern Idaho, USA",1997-2006,r,calf-cow ratios,SEC,No,"aerial shooting, trapping, ground shooting, pup removal",3,Open,High,49.5,native,mule deer,native,coyote,90,100,0,4,3,Yes,No,96.4,13.8,0.143153527,1789,72,2,2,6,6,4819,
1,Hurley et al. 2011. Wildl. Monogr.,1,1997,4,0.635,0.635,0.0535,0.0375,0,0.143307087,"Southeastern Idaho, USA",1997-2007,r,calf-cow ratios,SEC,No,"aerial shooting, trapping, ground shooting, pup removal",3,Open,High,49.5,native,mule deer,native,coyote,90,100,0,4,3,Yes,No,96.4,13.8,0.143153527,1789,72,2,2,6,6,4819,
